location,googleMapsUri,priceLevel,displayName,currentOpeningHours,primaryType,editorialSummary,priceRange
"{'latitude': -37.8167025, 'longitude': 144.96584}",https://maps.google.com/?cid=9900828692384233200,PRICE_LEVEL_MODERATE,"{'text': 'Brunetti Oro Flinders Lane', 'languageCode': 'en'}","{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 8, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}, 'close': {'day': 0, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}}, {'open': {'day': 1, 'hour': 7, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}, 'close': {'day': 1, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}}, {'open': {'day': 2, 'hour': 7, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}, 'close': {'day': 2, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}}, {'open': {'day': 3, 'hour': 7, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}, 'close': {'day': 3, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}}, {'open': {'day': 4, 'hour': 7, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}, 'close': {'day': 4, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}}, {'open': {'day': 5, 'hour': 7, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 21}}, 'close': {'day': 5, 'hour': 23, 'minute': 59, 'truncated': True, 'date': {'year': 2025, 'month': 3, 'day': 21}}}, {'open': {'day': 6, 'hour': 7, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 15}}, 'close': {'day': 0, 'hour': 0, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}}], 'weekdayDescriptions': ['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM'], 'nextCloseTime': '2025-03-15T13:00:00Z'}",italian_restaurant,"{'text': 'Italian cafe known for sweets, serving pizza & housemade pasta in a modern space.', 'languageCode': 'en'}","{'startPrice': {'currencyCode': 'AUD', 'units': '1'}, 'endPrice': {'currencyCode': 'AUD', 'units': '20'}}"
"{'latitude': -37.8158034, 'longitude': 144.9530273}",https://maps.google.com/?cid=5606829168410894815,PRICE_LEVEL_MODERATE,"{'text': 'Higher Ground', 'languageCode': 'en'}","{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 7, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 16}}, 'close': {'day': 0, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}}, {'open': {'day': 1, 'hour': 7, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}, 'close': {'day': 1, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}}, {'open': {'day': 2, 'hour': 7, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}, 'close': {'day': 2, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}}, {'open': {'day': 3, 'hour': 7, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}, 'close': {'day': 3, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}}, {'open': {'day': 4, 'hour': 7, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}, 'close': {'day': 4, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}}, {'open': {'day': 5, 'hour': 7, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 21}}, 'close': {'day': 5, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 21}}}, {'open': {'day': 6, 'hour': 7, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 15}}, 'close': {'day': 6, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 15}}}], 'weekdayDescriptions': ['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20095:00\u202fPM'], 'nextOpenTime': '2025-03-15T20:30:00Z'}",cafe,"{'text': 'Modern, upscale bites in an industrial-chic former power station with exposed-brick walls.', 'languageCode': 'en'}","{'startPrice': {'currencyCode': 'AUD', 'units': '20'}, 'endPrice': {'currencyCode': 'AUD', 'units': '40'}}"
"{'latitude': -37.8012935, 'longitude': 145.00774629999998}",https://maps.google.com/?cid=10234787360802264554,PRICE_LEVEL_MODERATE,"{'text': 'Studley Park Boathouse', 'languageCode': 'en'}","{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 8, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}, 'close': {'day': 0, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}}, {'open': {'day': 1, 'hour': 8, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}, 'close': {'day': 1, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}}, {'open': {'day': 2, 'hour': 8, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}, 'close': {'day': 2, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}}, {'open': {'day': 3, 'hour': 8, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}, 'close': {'day': 3, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}}, {'open': {'day': 4, 'hour': 8, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}, 'close': {'day': 4, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}}, {'open': {'day': 5, 'hour': 8, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 21}}, 'close': {'day': 5, 'hour': 21, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 21}}}, {'open': {'day': 6, 'hour': 8, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 15}}, 'close': {'day': 6, 'hour': 21, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 15}}}], 'weekdayDescriptions': ['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM'], 'nextOpenTime': '2025-03-15T21:00:00Z'}",restaurant,"{'text': 'Restored Edwardian boathouse with formal and casual dining spaces for Modern Australian cuisine.', 'languageCode': 'en'}","{'startPrice': {'currencyCode': 'AUD', 'units': '20'}, 'endPrice': {'currencyCode': 'AUD', 'units': '40'}}"
"{'latitude': -37.8038454, 'longitude': 144.9661208}",https://maps.google.com/?cid=621516571455222269,PRICE_LEVEL_INEXPENSIVE,"{'text': 'Universal Restaurant', 'languageCode': 'en'}","{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}, 'close': {'day': 0, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}}, {'open': {'day': 1, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}, 'close': {'day': 1, 'hour': 23, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}}, {'open': {'day': 2, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}, 'close': {'day': 2, 'hour': 23, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}}, {'open': {'day': 3, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}, 'close': {'day': 3, 'hour': 23, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}}, {'open': {'day': 4, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}, 'close': {'day': 4, 'hour': 23, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}}, {'open': {'day': 5, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 21}}, 'close': {'day': 5, 'hour': 23, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 21}}}, {'open': {'day': 6, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 15}}, 'close': {'day': 6, 'hour': 23, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 15}}}], 'weekdayDescriptions': ['Monday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM'], 'nextCloseTime': '2025-03-15T12:30:00Z'}",italian_restaurant,"{'text': 'Classic Italian dishes & handmade pasta served in a space with modern decor.', 'languageCode': 'en'}","{'startPrice': {'currencyCode': 'AUD', 'units': '20'}, 'endPrice': {'currencyCode': 'AUD', 'units': '40'}}"
"{'latitude': -37.8138765, 'longitude': 144.9669012}",https://maps.google.com/?cid=12042615729900604212,PRICE_LEVEL_INEXPENSIVE,"{'text': 'Soi 38 Melbourne', 'languageCode': 'en'}","{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}, 'close': {'day': 0, 'hour': 15, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}}, {'open': {'day': 0, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}, 'close': {'day': 0, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}}, {'open': {'day': 1, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}, 'close': {'day': 1, 'hour': 15, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}}, {'open': {'day': 1, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}, 'close': {'day': 1, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 17}}}, {'open': {'day': 2, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}, 'close': {'day': 2, 'hour': 15, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}}, {'open': {'day': 2, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}, 'close': {'day': 2, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 18}}}, {'open': {'day': 3, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}, 'close': {'day': 3, 'hour': 15, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}}, {'open': {'day': 3, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}, 'close': {'day': 3, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 19}}}, {'open': {'day': 4, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}, 'close': {'day': 4, 'hour': 15, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}}, {'open': {'day': 4, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}, 'close': {'day': 4, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 20}}}, {'open': {'day': 5, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 21}}, 'close': {'day': 5, 'hour': 15, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 21}}}, {'open': {'day': 5, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 21}}, 'close': {'day': 5, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 21}}}, {'open': {'day': 6, 'hour': 11, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 15}}, 'close': {'day': 6, 'hour': 15, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 15}}}, {'open': {'day': 6, 'hour': 17, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 15}}, 'close': {'day': 6, 'hour': 22, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 15}}}], 'weekdayDescriptions': ['Monday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM'], 'nextOpenTime': '2025-03-16T00:00:00Z'}",thai_restaurant,,"{'startPrice': {'currencyCode': 'AUD', 'units': '20'}, 'endPrice': {'currencyCode': 'AUD', 'units': '40'}}"
"{'latitude': -37.8113938, 'longitude': 144.9598114}",https://maps.google.com/?cid=2474200547043877019,PRICE_LEVEL_MODERATE,"{'text': 'Brick Lane Melbourne', 'languageCode': 'en'}","{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 8, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 16}}, 'close': {'day': 0, 'hour': 14, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 16}}}, {'open': {'day': 1, 'hour': 7, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 17}}, 'close': {'day': 1, 'hour': 14, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 17}}}, {'open': {'day': 2, 'hour': 7, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 18}}, 'close': {'day': 2, 'hour': 14, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 18}}}, {'open': {'day': 3, 'hour': 7, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 19}}, 'close': {'day': 3, 'hour': 14, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 19}}}, {'open': {'day': 4, 'hour': 7, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 20}}, 'close': {'day': 4, 'hour': 14, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 20}}}, {'open': {'day': 5, 'hour': 7, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 21}}, 'close': {'day': 5, 'hour': 14, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 21}}}, {'open': {'day': 6, 'hour': 8, 'minute': 0, 'date': {'year': 2025, 'month': 3, 'day': 15}}, 'close': {'day': 6, 'hour': 14, 'minute': 30, 'date': {'year': 2025, 'month': 3, 'day': 15}}}], 'weekdayDescriptions': ['Monday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20092:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20092:30\u202fPM'], 'nextOpenTime': '2025-03-15T21:00:00Z'}",cafe,"{'text': 'Craft coffee & creative brunch options in a bustling cafe-bakery with a vintage redbrick facade.', 'languageCode': 'en'}","{'startPrice': {'currencyCode': 'AUD', 'units': '20'}, 'endPrice': {'currencyCode': 'AUD', 'units': '40'}}"
